,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_speed
0,Salalah,20,OM,1521697800,61,17.01,54.1,80.6,4.7
1,Bluff,92,AU,1521701459,85,-23.58,149.07,72.87,14.12
2,Sioux Lookout,5,CA,1521698400,66,50.1,-91.92,24.8,3.36
3,Hamilton,40,CA,1521698400,54,43.26,-79.87,32.0,11.41
4,Kodiak,1,US,1521697980,80,39.95,-94.76,33.8,10.09
5,Camara de Lobos,40,PT,1521700200,58,32.63,-16.97,57.2,9.17
6,Vaini,0,IN,1521701475,29,15.34,74.49,91.05,4.94
7,Cidreira,0,BR,1521701480,95,-30.17,-50.22,56.04,3.04
8,Albany,90,US,1521698040,58,42.65,-73.75,32.0,5.82
9,Chokurdakh,36,RU,1521701745,63,70.62,147.9,-13.53,4.61
10,Fuente de Oro,100,CO,1521701746,66,3.46,-73.62,76.11,2.04
11,Poum,92,MK,1521701746,99,41.28,20.71,32.01,2.15
12,Ikornnes,75,NO,1521699600,100,62.39,6.56,37.4,12.75
13,Ust-Nera,0,RU,1521701606,64,64.57,143.24,-2.46,2.59
14,Castro,80,CL,1521701747,97,-42.48,-73.76,53.61,9.53
15,Punta Arenas,75,CL,1521698400,76,-53.16,-70.91,51.8,21.92
16,Atuona,80,PF,1521701472,100,-9.8,-139.03,81.15,17.02
17,Carnarvon,0,ZA,1521701468,88,-30.97,22.13,52.62,14.45
18,Tiksi,48,RU,1521701211,77,71.64,128.87,6.99,2.04
19,Arraial do Cabo,92,BR,1521701500,100,-22.97,-42.02,75.57,5.06
20,Rikitea,76,PF,1521701470,99,-23.12,-134.97,81.06,15.23
21,San Patricio,0,PY,1521701749,85,-26.98,-56.83,62.97,4.05
22,Ushuaia,36,AR,1521701458,97,-54.81,-68.31,46.95,13.22
23,Mangit,0,UZ,1521698400,40,40.6,70.96,68.0,4.7
24,Port-Gentil,75,GA,1521698400,88,-0.72,8.78,80.6,2.24
25,Padang,36,ID,1521701751,100,-0.92,100.36,81.33,3.38
26,Saskylakh,56,RU,1521701751,88,71.97,114.09,6.09,5.61
27,Agua Branca,92,BR,1521701751,99,-5.89,-42.63,70.17,6.96
28,Avera,1,US,1521700500,60,33.19,-82.53,42.8,6.93
29,Olga,1,US,1521698280,100,34.11,-118.17,68.0,6.93
30,Bethel,1,US,1521697980,92,60.79,-161.76,26.6,6.93
31,Zelenoborskiy,92,RU,1521701753,91,66.84,32.36,19.95,6.17
32,Khatanga,56,RU,1521701472,84,71.98,102.47,-5.61,12.1
33,Jieshi,0,CN,1521701754,77,22.82,115.83,69.9,11.99
34,Dikson,48,RU,1521701506,97,73.51,80.55,-0.21,23.06
35,Lebu,0,ET,1521701513,35,8.96,38.73,64.05,3.94
36,Enumclaw,90,US,1521699300,100,47.2,-121.99,50.0,3.38
37,Farso,75,DK,1521699720,100,56.77,9.34,41.0,5.82
38,Udachnyy,64,RU,1521701665,64,66.42,112.4,17.88,3.71
39,Hobart,75,AU,1521698400,59,-42.88,147.33,60.8,13.87
40,Tuktoyaktuk,48,CA,1521698400,68,69.44,-133.03,-4.01,5.82
41,Severo-Kurilsk,80,RU,1521701485,100,50.68,156.12,27.96,10.98
42,Fujin,0,CN,1521701756,71,47.24,132.03,43.71,5.5
43,Talnakh,32,RU,1521701670,91,69.49,88.39,-11.19,5.61
44,Ekhabi,0,RU,1521701757,84,53.51,142.97,18.69,7.4
45,Shenkursk,56,RU,1521701757,67,62.11,42.91,2.49,5.39
46,Amazar,76,RU,1521701757,53,53.86,120.88,33.09,4.94
47,Issum,75,DE,1521700200,100,51.53,6.42,39.2,12.75
48,Chuy,8,UY,1521701595,94,-33.69,-53.46,56.4,4.05
49,Tasiilaq,92,GL,1521697800,92,65.61,-37.64,26.6,3.36
50,Vao,36,EE,1521701595,91,59.1,26.19,29.4,10.65
51,Busselton,24,AU,1521701759,80,-33.64,115.35,77.01,15.01
52,New Norfolk,75,AU,1521698400,59,-42.78,147.06,60.8,13.87
53,Bayan,44,MN,1521701759,33,47.25,107.54,43.44,9.75
54,Middletown,90,US,1521700980,86,41.45,-74.42,33.8,9.17
55,Coos Bay,90,US,1521701040,100,43.37,-124.22,46.4,5.82
56,Alofi,80,NU,1521698400,88,-19.06,-169.92,78.8,2.24
57,Ngunguru,76,NZ,1521701761,99,-35.62,174.5,68.64,14.67
58,East London,75,ZA,1521698400,93,-33.02,27.91,62.6,5.82
59,Hithadhoo,20,MV,1521701486,100,-0.6,73.08,83.67,10.42
60,Drayton Valley,88,CA,1521701761,94,53.22,-114.98,29.49,8.52
61,Ariquemes,12,BR,1521701557,95,-9.91,-63.03,73.14,2.04
62,Kiama,75,AU,1521698400,64,-34.67,150.86,68.0,14.99
63,Villaviciosa,0,ES,1521700200,81,43.48,-5.43,35.6,6.93
64,Okato,56,NZ,1521701762,98,-39.19,173.88,65.58,4.72
65,Sevsk,88,RU,1521701763,97,52.15,34.49,26.07,12.55
66,Constitucion,0,MX,1521701616,49,23.99,-104.67,55.59,5.39
67,Port Elizabeth,90,US,1521700740,100,39.31,-74.98,33.8,18.34
68,Saint-Joseph,0,FR,1521700200,74,43.56,6.97,39.2,4.7
69,Krasnyy Chikoy,48,RU,1521701654,46,50.36,108.75,42.63,3.49
70,Bredasdorp,48,ZA,1521698400,68,-34.53,20.04,66.2,8.05
71,Naze,90,NG,1521698400,100,5.43,7.07,75.2,3.04
72,Nioki,80,CD,1521701765,100,-2.72,17.69,70.35,3.38
73,Nenjiang,32,CN,1521701765,53,49.17,125.23,50.37,9.53
74,Mataura,92,NZ,1521701486,85,-46.19,168.86,49.11,7.18
75,Isangel,44,VU,1521701765,100,-19.55,169.27,79.89,14.56
76,Norman Wells,90,CA,1521698400,77,65.28,-126.83,5.0,2.24
77,Sao Geraldo do Araguaia,80,BR,1521701766,100,-6.4,-48.55,70.71,6.4
78,Hilo,90,US,1521698160,69,19.71,-155.08,75.2,5.82
79,Aklavik,5,CA,1521698400,76,68.22,-135.01,-7.61,6.93
80,Yulara,0,AU,1521698400,14,-25.24,130.99,93.2,12.75
